Date,Start (ET),Visitor/Neutral,VPTS,Home/Neutral,HPTS,,,Notes
Fri Nov 3 2017,7:00 pm,Cleveland Cavaliers,130,Washington Wizards,122,Box Score,,
Sat Nov 4 2017,8:00 pm,New Orleans Pelicans,96,Chicago Bulls,90,Box Score,OT,
Sat Nov 4 2017,9:00 pm,Golden State Warriors,127,Denver Nuggets,108,Box Score,,
Sat Nov 4 2017,7:00 pm,Sacramento Kings,99,Detroit Pistons,108,Box Score,,
Sat Nov 4 2017,3:30 pm,Memphis Grizzlies,113,Los Angeles Clippers,104,Box Score,,
Sat Nov 4 2017,8:00 pm,Dallas Mavericks,99,Minnesota Timberwolves,112,Box Score,,
Sun Nov 5 2017,3:00 pm,Atlanta Hawks,117,Cleveland Cavaliers,115,Box Score,,
Sun Nov 5 2017,7:00 pm,Utah Jazz,110,Houston Rockets,137,Box Score,,
Sun Nov 5 2017,3:30 pm,Miami Heat,104,Los Angeles Clippers,101,Box Score,,
Sun Nov 5 2017,9:30 pm,Memphis Grizzlies,102,Los Angeles Lakers,107,Box Score,,
Sun Nov 5 2017,8:00 pm,Charlotte Hornets,94,Minnesota Timberwolves,112,Box Score,,
Sun Nov 5 2017,7:30 pm,Indiana Pacers,101,New York Knicks,108,Box Score,,
Sun Nov 5 2017,6:00 pm,Boston Celtics,104,Orlando Magic,88,Box Score,,
Sun Nov 5 2017,9:00 pm,Oklahoma City Thunder,99,Portland Trail Blazers,103,Box Score,,
Sun Nov 5 2017,7:00 pm,Phoenix Suns,95,San Antonio Spurs,112,Box Score,,
Sun Nov 5 2017,6:00 pm,Washington Wizards,107,Toronto Raptors,96,Box Score,,
Mon Nov 6 2017,7:30 pm,Boston Celtics,110,Atlanta Hawks,107,Box Score,,
Mon Nov 6 2017,10:30 pm,Miami Heat,80,Golden State Warriors,97,Box Score,,
Mon Nov 6 2017,9:00 pm,Brooklyn Nets,98,Phoenix Suns,92,Box Score,,
Tue Nov 7 2017,7:00 pm,Milwaukee Bucks,119,Cleveland Cavaliers,124,Box Score,,
Tue Nov 7 2017,9:00 pm,Brooklyn Nets,104,Denver Nuggets,112,Box Score,,
Tue Nov 7 2017,7:00 pm,New Orleans Pelicans,117,Indiana Pacers,112,Box Score,,
Tue Nov 7 2017,7:30 pm,Charlotte Hornets,113,New York Knicks,118,Box Score,,
Tue Nov 7 2017,10:00 pm,Memphis Grizzlies,98,Portland Trail Blazers,97,Box Score,,
Tue Nov 7 2017,10:00 pm,Oklahoma City Thunder,86,Sacramento Kings,94,Box Score,,
Tue Nov 7 2017,8:30 pm,Los Angeles Clippers,107,San Antonio Spurs,120,Box Score,,
Tue Nov 7 2017,7:30 pm,Chicago Bulls,114,Toronto Raptors,119,Box Score,,
Tue Nov 7 2017,9:00 pm,Philadelphia 76ers,104,Utah Jazz,97,Box Score,,
Tue Nov 7 2017,7:00 pm,Dallas Mavericks,113,Washington Wizards,99,Box Score,,
Wed Nov 8 2017,8:00 pm,Los Angeles Lakers,96,Boston Celtics,107,Box Score,,
Wed Nov 8 2017,7:00 pm,Indiana Pacers,97,Detroit Pistons,114,Box Score,,
Wed Nov 8 2017,10:30 pm,Minnesota Timberwolves,101,Golden State Warriors,125,Box Score,,
Wed Nov 8 2017,7:00 pm,New York Knicks,99,Orlando Magic,112,Box Score,,
Wed Nov 8 2017,9:00 pm,Miami Heat,126,Phoenix Suns,115,Box Score,,
Thu Nov 9 2017,10:30 pm,Oklahoma City Thunder,94,Denver Nuggets,102,Box Score,,
Thu Nov 9 2017,8:00 pm,Cleveland Cavaliers,113,Houston Rockets,117,Box Score,,
Thu Nov 9 2017,10:00 pm,Philadelphia 76ers,108,Sacramento Kings,109,Box Score,,
Thu Nov 9 2017,7:30 pm,New Orleans Pelicans,118,Toronto Raptors,122,Box Score,,
Thu Nov 9 2017,7:00 pm,Los Angeles Lakers,95,Washington Wizards,111,Box Score,,
Fri Nov 10 2017,7:30 pm,Charlotte Hornets,87,Boston Celtics,90,Box Score,,
Fri Nov 10 2017,8:00 pm,Indiana Pacers,105,Chicago Bulls,87,Box Score,,
Fri Nov 10 2017,7:00 pm,Atlanta Hawks,104,Detroit Pistons,111,Box Score,,
Fri Nov 10 2017,9:00 pm,Los Angeles Clippers,111,Oklahoma City Thunder,120,Box Score,,
Fri Nov 10 2017,9:00 pm,Orlando Magic,128,Phoenix Suns,112,Box Score,,
Fri Nov 10 2017,10:00 pm,Brooklyn Nets,101,Portland Trail Blazers,97,Box Score,,
Fri Nov 10 2017,9:00 pm,Milwaukee Bucks,94,San Antonio Spurs,87,Box Score,,
Fri Nov 10 2017,9:00 pm,Miami Heat,84,Utah Jazz,74,Box Score,,
Sat Nov 11 2017,8:30 pm,Cleveland Cavaliers,111,Dallas Mavericks,104,Box Score,,
Sat Nov 11 2017,9:00 pm,Orlando Magic,107,Denver Nuggets,125,Box Score,,
Sat Nov 11 2017,8:30 pm,Philadelphia 76ers,114,Golden State Warriors,135,Box Score,,
Sat Nov 11 2017,8:00 pm,Memphis Grizzlies,96,Houston Rockets,111,Box Score,,
Sat Nov 11 2017,8:30 pm,Los Angeles Lakers,90,Milwaukee Bucks,98,Box Score,,
Sat Nov 11 2017,7:00 pm,Los Angeles Clippers,103,New Orleans Pelicans,111,Box Score,,
Sat Nov 11 2017,8:00 pm,Sacramento Kings,91,New York Knicks,118,Box Score,,
Sat Nov 11 2017,9:00 pm,Minnesota Timberwolves,110,Phoenix Suns,118,Box Score,,
Sat Nov 11 2017,8:30 pm,Chicago Bulls,94,San Antonio Spurs,133,Box Score,,
Sat Nov 11 2017,9:00 pm,Brooklyn Nets,106,Utah Jazz,114,Box Score,,
Sat Nov 11 2017,7:00 pm,Atlanta Hawks,94,Washington Wizards,113,Box Score,,
Sun Nov 12 2017,3:30 pm,Toronto Raptors,94,Boston Celtics,95,Box Score,,
Sun Nov 12 2017,4:00 pm,Miami Heat,103,Detroit Pistons,112,Box Score,,
Sun Nov 12 2017,6:00 pm,Houston Rockets,118,Indiana Pacers,95,Box Score,,
Sun Nov 12 2017,7:00 pm,Dallas Mavericks,99,Oklahoma City Thunder,112,Box Score,,
Mon Nov 13 2017,10:30 pm,Orlando Magic,100,Golden State Warriors,110,Box Score,,
Mon Nov 13 2017,10:30 pm,Philadelphia 76ers,109,Los Angeles Clippers,105,Box Score,,
Mon Nov 13 2017,8:00 pm,Memphis Grizzlies,103,Milwaukee Bucks,110,Box Score,,
Mon Nov 13 2017,8:00 pm,Atlanta Hawks,105,New Orleans Pelicans,106,Box Score,,
Mon Nov 13 2017,7:30 pm,Cleveland Cavaliers,104,New York Knicks,101,Box Score,,
Mon Nov 13 2017,9:00 pm,Los Angeles Lakers,100,Phoenix Suns,93,Box Score,,
Mon Nov 13 2017,10:00 pm,Denver Nuggets,82,Portland Trail Blazers,99,Box Score,,
Mon Nov 13 2017,9:00 pm,Minnesota Timberwolves,109,Utah Jazz,98,Box Score,,
Mon Nov 13 2017,7:00 pm,Sacramento Kings,92,Washington Wizards,110,Box Score,,
Tue Nov 14 2017,7:30 pm,Boston Celtics,109,Brooklyn Nets,102,Box Score,,
Tue Nov 14 2017,8:30 pm,San Antonio Spurs,97,Dallas Mavericks,91,Box Score,,
Tue Nov 14 2017,8:00 pm,Toronto Raptors,129,Houston Rockets,113,Box Score,,
Wed Nov 15 2017,7:30 pm,Sacramento Kings,80,Atlanta Hawks,126,Box Score,,
Wed Nov 15 2017,8:00 pm,Cleveland Cavaliers,115,Charlotte Hornets,107,Box Score,,
Wed Nov 15 2017,10:30 pm,Philadelphia 76ers,115,Los Angeles Lakers,109,Box Score,,
Wed Nov 15 2017,8:00 pm,Indiana Pacers,116,Memphis Grizzlies,113,Box Score,,
Wed Nov 15 2017,7:30 pm,Washington Wizards,102,Miami Heat,93,Box Score,,
Wed Nov 15 2017,8:00 pm,Detroit Pistons,95,Milwaukee Bucks,99,Box Score,,
Wed Nov 15 2017,8:00 pm,San Antonio Spurs,86,Minnesota Timberwolves,98,Box Score,,
Wed Nov 15 2017,8:00 pm,Toronto Raptors,125,New Orleans Pelicans,116,Box Score,,
Wed Nov 15 2017,7:30 pm,Utah Jazz,101,New York Knicks,106,Box Score,,
Wed Nov 15 2017,8:00 pm,Chicago Bulls,79,Oklahoma City Thunder,92,Box Score,,
Wed Nov 15 2017,10:00 pm,Orlando Magic,94,Portland Trail Blazers,99,Box Score,,
Thu Nov 16 2017,8:00 pm,Golden State Warriors,88,Boston Celtics,92,Box Score,,
Thu Nov 16 2017,10:30 pm,Houston Rockets,142,Phoenix Suns,116,Box Score,,
Fri Nov 17 2017,7:30 pm,Utah Jazz,107,Brooklyn Nets,118,Box Score,,
Fri Nov 17 2017,8:00 pm,Charlotte Hornets,120,Chicago Bulls,123,Box Score,,
Fri Nov 17 2017,7:30 pm,Los Angeles Clippers,113,Cleveland Cavaliers,118,Box Score,OT,
Fri Nov 17 2017,8:30 pm,Minnesota Timberwolves,111,Dallas Mavericks,87,Box Score,,
Fri Nov 17 2017,10:30 pm,New Orleans Pelicans,114,Denver Nuggets,146,Box Score,,
Fri Nov 17 2017,7:00 pm,Detroit Pistons,100,Indiana Pacers,107,Box Score,,
Fri Nov 17 2017,10:30 pm,Phoenix Suns,122,Los Angeles Lakers,113,Box Score,,
Fri Nov 17 2017,10:00 pm,Portland Trail Blazers,82,Sacramento Kings,86,Box Score,,
Fri Nov 17 2017,8:00 pm,Oklahoma City Thunder,101,San Antonio Spurs,104,Box Score,,
Fri Nov 17 2017,7:30 pm,New York Knicks,84,Toronto Raptors,107,Box Score,,
Fri Nov 17 2017,7:00 pm,Miami Heat,91,Washington Wizards,88,Box Score,,
Sat Nov 18 2017,7:30 pm,Boston Celtics,110,Atlanta Hawks,99,Box Score,,
Sat Nov 18 2017,7:00 pm,Los Angeles Clippers,87,Charlotte Hornets,102,Box Score,,
Sat Nov 18 2017,9:00 pm,Milwaukee Bucks,79,Dallas Mavericks,111,Box Score,,
Sat Nov 18 2017,8:00 pm,Houston Rockets,105,Memphis Grizzlies,83,Box Score,,
Sat Nov 18 2017,7:00 pm,Utah Jazz,125,Orlando Magic,85,Box Score,,
Sat Nov 18 2017,7:30 pm,Golden State Warriors,124,Philadelphia 76ers,116,Box Score,,
Sat Nov 18 2017,10:00 pm,Sacramento Kings,90,Portland Trail Blazers,102,Box Score,,
Sun Nov 19 2017,6:00 pm,Golden State Warriors,118,Brooklyn Nets,111,Box Score,,
Sun Nov 19 2017,9:30 pm,Denver Nuggets,109,Los Angeles Lakers,127,Box Score,,
Sun Nov 19 2017,5:00 pm,Indiana Pacers,120,Miami Heat,95,Box Score,,
Sun Nov 19 2017,7:00 pm,Detroit Pistons,100,Minnesota Timberwolves,97,Box Score,,
Sun Nov 19 2017,8:00 pm,Chicago Bulls,105,Phoenix Suns,113,Box Score,,
Sun Nov 19 2017,3:30 pm,Washington Wizards,91,Toronto Raptors,100,Box Score,,
Mon Nov 20 2017,7:00 pm,Minnesota Timberwolves,102,Charlotte Hornets,118,Box Score,,
Mon Nov 20 2017,8:30 pm,Boston Celtics,110,Dallas Mavericks,102,Box Score,OT,
Mon Nov 20 2017,7:00 pm,Cleveland Cavaliers,116,Detroit Pistons,88,Box Score,,
Mon Nov 20 2017,8:00 pm,Portland Trail Blazers,100,Memphis Grizzlies,92,Box Score,,
Mon Nov 20 2017,8:00 pm,Washington Wizards,99,Milwaukee Bucks,88,Box Score,,
Mon Nov 20 2017,8:00 pm,Oklahoma City Thunder,107,New Orleans Pelicans,114,Box Score,,
Mon Nov 20 2017,7:30 pm,Los Angeles Clippers,85,New York Knicks,107,Box Score,,
Mon Nov 20 2017,7:00 pm,Indiana Pacers,105,Orlando Magic,97,Box Score,,
Mon Nov 20 2017,7:00 pm,Utah Jazz,86,Philadelphia 76ers,107,Box Score,,
Mon Nov 20 2017,10:00 pm,Denver Nuggets,114,Sacramento Kings,98,Box Score,,
Mon Nov 20 2017,8:30 pm,Atlanta Hawks,85,San Antonio Spurs,96,Box Score,,
Tue Nov 21 2017,10:30 pm,Chicago Bulls,94,Los Angeles Lakers,103,Box Score,,
Wed Nov 22 2017,7:30 pm,Los Angeles Clippers,116,Atlanta Hawks,103,Box Score,,
Wed Nov 22 2017,7:00 pm,Washington Wizards,124,Charlotte Hornets,129,Box Score,OT,
Wed Nov 22 2017,7:00 pm,Brooklyn Nets,109,Cleveland Cavaliers,119,Box Score,,
Wed Nov 22 2017,8:00 pm,Denver Nuggets,95,Houston Rockets,125,Box Score,,
Wed Nov 22 2017,8:00 pm,Dallas Mavericks,95,Memphis Grizzlies,94,Box Score,,
Wed Nov 22 2017,7:30 pm,Boston Celtics,98,Miami Heat,104,Box Score,,
Wed Nov 22 2017,8:00 pm,Orlando Magic,118,Minnesota Timberwolves,124,Box Score,,
Wed Nov 22 2017,8:00 pm,San Antonio Spurs,90,New Orleans Pelicans,107,Box Score,,
Wed Nov 22 2017,7:30 pm,Toronto Raptors,100,New York Knicks,108,Box Score,,
Wed Nov 22 2017,8:00 pm,Golden State Warriors,91,Oklahoma City Thunder,108,Box Score,,
Wed Nov 22 2017,7:00 pm,Portland Trail Blazers,81,Philadelphia 76ers,101,Box Score,,
Wed Nov 22 2017,9:00 pm,Milwaukee Bucks,113,Phoenix Suns,107,Box Score,OT,
Wed Nov 22 2017,10:30 pm,Los Angeles Lakers,102,Sacramento Kings,113,Box Score,,
Wed Nov 22 2017,9:00 pm,Chicago Bulls,80,Utah Jazz,110,Box Score,,
Fri Nov 24 2017,7:30 pm,New York Knicks,104,Atlanta Hawks,116,Box Score,,
Fri Nov 24 2017,7:30 pm,Orlando Magic,103,Boston Celtics,118,Box Score,,
Fri Nov 24 2017,12:00 pm,Portland Trail Blazers,127,Brooklyn Nets,125,Box Score,,
Fri Nov 24 2017,8:00 pm,Charlotte Hornets,99,Cleveland Cavaliers,100,Box Score,,
Fri Nov 24 2017,9:00 pm,Memphis Grizzlies,92,Denver Nuggets,104,Box Score,,
Fri Nov 24 2017,10:30 pm,Chicago Bulls,94,Golden State Warriors,143,Box Score,,
Fri Nov 24 2017,8:00 pm,Toronto Raptors,104,Indiana Pacers,107,Box Score,,
Fri Nov 24 2017,8:00 pm,Miami Heat,109,Minnesota Timberwolves,97,Box Score,,
Fri Nov 24 2017,8:00 pm,Detroit Pistons,99,Oklahoma City Thunder,98,Box Score,,
Fri Nov 24 2017,9:00 pm,New Orleans Pelicans,115,Phoenix Suns,91,Box Score,,
Sat Nov 25 2017,7:30 pm,Toronto Raptors,112,Atlanta Hawks,78,Box Score,,
Sat Nov 25 2017,7:00 pm,San Antonio Spurs,106,Charlotte Hornets,86,Box Score,,
Sat Nov 25 2017,8:30 pm,Oklahoma City Thunder,81,Dallas Mavericks,97,Box Score,,
Sat Nov 25 2017,8:30 pm,New Orleans Pelicans,95,Golden State Warriors,110,Box Score,,
Sat Nov 25 2017,8:00 pm,New York Knicks,102,Houston Rockets,117,Box Score,,
Sat Nov 25 2017,8:00 pm,Boston Celtics,108,Indiana Pacers,98,Box Score,,
